full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/assetguard-manager,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/VERSION.json,root,assetguard-manager,440,file,-r--r-----,,
/var/assetguard-manager/active-response,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/active-response/bin,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/active-response/bin/kaspersky.py,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/active-response/bin/restart.sh,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/api,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/api/configuration,root,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/api/configuration/api.yaml,root,assetguard-manager,660,file,-rw-rw----,,
/var/assetguard-manager/api/configuration/security,root,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/api/configuration/ssl,root,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/api/scripts,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/api/scripts/assetguard_manager_apid.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/backup,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/backup/agents,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/backup/db,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/backup/shared,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/bin,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/bin/agent_groups,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/agent_upgrade,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/cluster_control,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/rbac_control,root,assetguard-manager,750,file,-rwxr-x---,,
